Condition,Age Group,Dietary Preferences,Remedy Name,Ingredients,Recipe,Dosage,Cautions,Contraindications
Catarrh,Seniors,Vegetarian,Sage Tea,"Fresh sage leaves, water","Steep sage leaves in hot water, strain","1/2 cup, once daily","Dry mouth, dizziness","Pregnant women, children under 2 years old"
Swollen Glands,Children,Vegetarian,Echinacea Tea,"Echinacea root, water","Steep echinacea root in hot water, strain","1/2 cup, once daily","Stomach upset, allergic reactions","Autoimmune disorders, ragweed allergy"
Swollen Glands,Children,Vegetarian,Chamomile Tea,"Chamomile flowers, water","Steep chamomile flowers in hot water, strain","1/2 cup, once daily","Drowsiness, nausea",Ragweed allergy
Swollen Glands,Children,Vegetarian,Lemon Balm Tea,"Lemon balm leaves, water","Steep lemon balm leaves in hot water, strain","1/2 cup, once daily","Drowsiness, mild sedation",Hypothyroidism
Swollen Glands,Children,Vegetarian,Garlic and Honey,"Fresh garlic, honey","Crush garlic and mix with honey, take a small spoonful","1 tsp, once daily","Bad breath, stomach upset",Allergies to garlic or honey
Swollen Glands,Children,Vegetarian,Ginger Tea,"Fresh ginger, water, honey","Boil ginger in water, strain, add honey","1/2 cup, once daily","Stomach upset, heartburn",Blood-thinning medications
Swollen Glands,Children,Vegetarian,Warm Saltwater Gargle,"Salt, warm water","Dissolve salt in warm water, gargle",1-2 times daily,None,None
Swollen Glands,Children,Vegetarian,Warm Compress,"Warm water, towel",Apply warm towel to swollen glands for 10-15 minutes,As needed,"Skin irritation, dehydration",Open cuts on the skin
Swollen Glands,Children,Vegetarian,Thyme Tea,"Thyme, water","Steep thyme in hot water, strain","1/2 cup, once daily","Allergic reactions, drowsiness",None
Swollen Glands,Children,Vegetarian,Marshmallow Root Tea,"Marshmallow root, water","Steep marshmallow root in hot water, strain","1/2 cup, once daily",None,None
Swollen Glands,Children,Vegetarian,Apple Cider Vinegar Drink,"Apple cider vinegar, water","Mix apple cider vinegar with water, drink daily","1 tsp, once daily","Tooth enamel erosion, stomach upset",None
Swollen Glands,Adults,Vegetarian,Echinacea Tea,"Echinacea root, water","Steep echinacea root in hot water, strain","1 cup, once daily","Stomach upset, allergic reactions","Autoimmune disorders, ragweed allergy"
Swollen Glands,Adults,Vegetarian,Chamomile Tea,"Chamomile flowers, water","Steep chamomile flowers in hot water, strain","1 cup, once daily","Drowsiness, nausea",Ragweed allergy
Swollen Glands,Adults,Vegetarian,Lemon Balm Tea,"Lemon balm leaves, water","Steep lemon balm leaves in hot water, strain","1 cup, once daily","Drowsiness, mild sedation",Hypothyroidism
Swollen Glands,Adults,Vegetarian,Garlic and Honey,"Fresh garlic, honey","Crush garlic and mix with honey, take a small spoonful","1 tsp, once daily","Bad breath, stomach upset",Allergies to garlic or honey
Swollen Glands,Adults,Vegetarian,Ginger Tea,"Fresh ginger, water, honey","Boil ginger in water, strain, add honey","1 cup, once daily","Stomach upset, heartburn",Blood-thinning medications
Swollen Glands,Adults,Vegetarian,Warm Saltwater Gargle,"Salt, warm water","Dissolve salt in warm water, gargle",1-2 times daily,None,None
Swollen Glands,Adults,Vegetarian,Warm Compress,"Warm water, towel",Apply warm towel to swollen glands for 10-15 minutes,As needed,"Skin irritation, dehydration",Open cuts on the skin
Swollen Glands,Adults,Vegetarian,Thyme Tea,"Thyme, water","Steep thyme in hot water, strain","1 cup, once daily","Allergic reactions, drowsiness",None
Swollen Glands,Adults,Vegetarian,Marshmallow Root Tea,"Marshmallow root, water","Steep marshmallow root in hot water, strain","1 cup, once daily",None,None
Swollen Glands,Seniors,Vegetarian,Echinacea Tea,"Echinacea root, water","Steep echinacea root in hot water, strain","1/2 cup, once daily","Stomach upset, allergic reactions","Autoimmune disorders, ragweed allergy"
Swollen Glands,Seniors,Vegetarian,Chamomile Tea,"Chamomile flowers, water","Steep chamomile flowers in hot water, strain","1/2 cup, once daily","Drowsiness, nausea",Ragweed allergy
Swollen Glands,Seniors,Vegetarian,Lemon Balm Tea,"Lemon balm leaves, water","Steep lemon balm leaves in hot water, strain","1/2 cup, once daily","Drowsiness, mild sedation",Hypothyroidism
Swollen Glands,Seniors,Vegetarian,Garlic and Honey,"Fresh garlic, honey","Crush garlic and mix with honey, take a small spoonful","1 tsp, once daily","Bad breath, stomach upset",Allergies to garlic or honey
Swollen Glands,Seniors,Vegetarian,Ginger Tea,"Fresh ginger, water, honey","Boil ginger in water, strain, add honey","1/2 cup, once daily","Stomach upset, heartburn",Blood-thinning medications
Swollen Glands,Seniors,Vegetarian,Warm Saltwater Gargle,"Salt, warm water","Dissolve salt in warm water, gargle",1-2 times daily,None,None
Swollen Glands,Seniors,Vegetarian,Warm Compress,"Warm water, towel",Apply warm towel to swollen glands for 10-15 minutes,As needed,"Skin irritation, dehydration",Open cuts on the skin
Swollen Glands,Seniors,Vegetarian,Thyme Tea,"Thyme, water","Steep thyme in hot water, strain","1/2 cup, once daily","Allergic reactions, drowsiness",None
Swollen Glands,Seniors,Vegetarian,Marshmallow Root Tea,"Marshmallow root, water","Steep marshmallow root in hot water, strain","1/2 cup, once daily",None,None
Swollen Glands,Seniors,Vegetarian,Apple Cider Vinegar Drink,"Apple cider vinegar, water","Mix apple cider vinegar with water, drink daily","1 tsp, once daily","Tooth enamel erosion, stomach upset",None
edema,Children,Vegetarian,Dandelion Tea,"Dandelion leaves, water","Steep dandelion leaves in hot water, strain","1/2 cup, once daily","Stomach upset, diarrhea","Kidney disease, pregnancy"
edema,Children,Vegetarian,Parsley Tea,"Fresh parsley, water","Steep fresh parsley in hot water, strain","1/2 cup, once daily",Stomach upset,"Kidney disease, pregnancy"
edema,Children,Vegetarian,Ginger Tea,"Fresh ginger, water, honey","Boil ginger in water, strain, add honey","1/2 cup, once daily","Stomach upset, heartburn",Blood-thinning medications
edema,Children,Vegetarian,Lemon Balm Tea,"Lemon balm leaves, water","Steep lemon balm leaves in hot water, strain","1/2 cup, once daily",Drowsiness,Hypothyroidism
edema,Children,Vegetarian,Hawthorn Berry Tea,"Hawthorn berries, water","Boil hawthorn berries in water, strain","1/2 cup, once daily","Stomach upset, nausea","Low blood pressure, heart conditions"
edema,Adults,Vegetarian,Dandelion Tea,"Dandelion leaves, water","Steep dandelion leaves in hot water, strain","1 cup, once daily","Stomach upset, diarrhea","Kidney disease, pregnancy"
edema,Adults,Vegetarian,Parsley Tea,"Fresh parsley, water","Steep fresh parsley in hot water, strain","1 cup, once daily",Stomach upset,"Kidney disease, pregnancy"
edema,Adults,Vegetarian,Ginger Tea,"Fresh ginger, water, honey","Boil ginger in water, strain, add honey","1 cup, once daily","Stomach upset, heartburn",Blood-thinning medications
edema,Adults,Vegetarian,Lemon Balm Tea,"Lemon balm leaves, water","Steep lemon balm leaves in hot water, strain","1 cup, once daily",Drowsiness,Hypothyroidism
edema,Adults,Vegetarian,Hawthorn Berry Tea,"Hawthorn berries, water","Boil hawthorn berries in water, strain","1 cup, once daily","Stomach upset, nausea","Low blood pressure, heart conditions"
edema,Seniors,Vegetarian,Dandelion Tea,"Dandelion leaves, water","Steep dandelion leaves in hot water, strain","1/2 cup, once daily","Stomach upset, diarrhea","Kidney disease, pregnancy"
edema,Seniors,Vegetarian,Parsley Tea,"Fresh parsley, water","Steep fresh parsley in hot water, strain","1/2 cup, once daily",Stomach upset,"Kidney disease, pregnancy"
edema,Seniors,Vegetarian,Ginger Tea,"Fresh ginger, water, honey","Boil ginger in water, strain, add honey","1/2 cup, once daily","Stomach upset, heartburn",Blood-thinning medications
edema,Seniors,Vegetarian,Lemon Balm Tea,"Lemon balm leaves, water","Steep lemon balm leaves in hot water, strain","1/2 cup, once daily",Drowsiness,Hypothyroidism
edema,Seniors,Vegetarian,Hawthorn Berry Tea,"Hawthorn berries, water","Boil hawthorn berries in water, strain","1/2 cup, once daily","Stomach upset, nausea","Low blood pressure, heart conditions"
arterial disease,Children,Vegetarian,Garlic Tea,"Fresh garlic, water","Crush garlic, steep in hot water, strain","1/2 cup, once daily","Bad breath, stomach upset","Bleeding disorders, anticoagulants"
arterial disease,Children,Vegetarian,Hawthorn Berry Tea,"Hawthorn berries, water","Boil hawthorn berries in water, strain","1/2 cup, once daily","Stomach upset, nausea","Low blood pressure, heart conditions"
arterial disease,Children,Vegetarian,Turmeric Milk,"Turmeric powder, warm milk",Mix turmeric in warm milk,"1/2 cup, once daily",Digestive upset,"Liver disease, gallstones"
arterial disease,Children,Vegetarian,Ginger Tea,"Fresh ginger, water, honey","Boil ginger in water, strain, add honey","1/2 cup, once daily","Stomach upset, heartburn",Blood-thinning medications
arterial disease,Children,Vegetarian,Green Tea,"Green tea leaves, water","Steep green tea leaves in hot water, strain","1/2 cup, once daily","Insomnia, stomach upset","Low blood pressure, caffeine sensitivity"
arterial disease,Adults,Vegetarian,Garlic Tea,"Fresh garlic, water","Crush garlic, steep in hot water, strain","1 cup, once daily","Bad breath, stomach upset","Bleeding disorders, anticoagulants"
arterial disease,Adults,Vegetarian,Hawthorn Berry Tea,"Hawthorn berries, water","Boil hawthorn berries in water, strain","1 cup, once daily","Stomach upset, nausea","Low blood pressure, heart conditions"
arterial disease,Adults,Vegetarian,Turmeric Tea,"Turmeric powder, water","Mix turmeric in hot water, stir well","1 cup, once daily",Digestive upset,"Liver disease, gallstones"
arterial disease,Adults,Vegetarian,Ginger Tea,"Fresh ginger, water, honey","Boil ginger in water, strain, add honey","1 cup, once daily","Stomach upset, heartburn",Blood-thinning medications
arterial disease,Adults,Vegetarian,Green Tea,"Green tea leaves, water","Steep green tea leaves in hot water, strain","1 cup, once daily","Insomnia, stomach upset","Low blood pressure, caffeine sensitivity"
arterial disease,Seniors,Vegetarian,Garlic Tea,"Fresh garlic, water","Crush garlic, steep in hot water, strain","1/2 cup, once daily","Bad breath, stomach upset","Bleeding disorders, anticoagulants"
arterial disease,Seniors,Vegetarian,Hawthorn Berry Tea,"Hawthorn berries, water","Boil hawthorn berries in water, strain","1/2 cup, once daily","Stomach upset, nausea","Low blood pressure, heart conditions"
arterial disease,Seniors,Vegetarian,Turmeric Milk,"Turmeric powder, warm milk",Mix turmeric in warm milk,"1/2 cup, once daily",Digestive upset,"Liver disease, gallstones"
arterial disease,Seniors,Vegetarian,Ginger Tea,"Fresh ginger, water, honey","Boil ginger in water, strain, add honey","1/2 cup, once daily","Stomach upset, heartburn",Blood-thinning medications
arterial disease,Seniors,Vegetarian,Green Tea,"Green tea leaves, water","Steep green tea leaves in hot water, strain","1/2 cup, once daily","Insomnia, stomach upset","Low blood pressure, caffeine sensitivity"
cholestrol,Children,Vegetarian,Garlic Tea,"Fresh garlic, water","Crush garlic, steep in hot water, strain","1/2 cup, once daily","Bad breath, stomach upset","Bleeding disorders, anticoagulants"
cholestrol,Children,Vegetarian,Fenugreek Seed Tea,"Fenugreek seeds, water","Boil fenugreek seeds in water, strain","1/2 cup, once daily","Stomach upset, bloating","Low blood pressure, diabetes"
cholestrol,Children,Vegetarian,Hibiscus Tea,"Hibiscus flowers, water","Steep hibiscus flowers in hot water, strain","1/2 cup, once daily","Mild dizziness, stomach upset","Low blood pressure, dehydration"
cholestrol,Children,Vegetarian,Green Tea,"Green tea leaves, water","Steep green tea leaves in hot water, strain","1/2 cup, once daily","Insomnia, stomach upset","Low blood pressure, caffeine sensitivity"
cholestrol,Children,Vegetarian,Lemon Balm Tea,"Lemon balm leaves, water","Steep lemon balm leaves in warm water, strain","1/2 cup, once daily",Drowsiness,"Hypothyroidism, sedative use"
cholestrol,Adults,Vegetarian,Garlic Tea,"Fresh garlic, water","Crush garlic, steep in hot water, strain","1 cup, once daily","Bad breath, stomach upset","Bleeding disorders, anticoagulants"
cholestrol,Adults,Vegetarian,Fenugreek Seed Tea,"Fenugreek seeds, water","Boil fenugreek seeds in water, strain","1 cup, once daily","Stomach upset, bloating","Low blood pressure, diabetes"
cholestrol,Adults,Vegetarian,Hibiscus Tea,"Hibiscus flowers, water","Steep hibiscus flowers in hot water, strain","1 cup, once daily","Mild dizziness, stomach upset","Low blood pressure, dehydration"
cholestrol,Adults,Vegetarian,Green Tea,"Green tea leaves, water","Steep green tea leaves in hot water, strain","1 cup, once daily","Insomnia, stomach upset","Low blood pressure, caffeine sensitivity"
cholestrol,Adults,Vegetarian,Red Clover Tea,"Red clover flowers, water","Steep red clover flowers in hot water, strain","1 cup, once daily","Skin irritation, nausea","Hormonal imbalances, pregnancy"
cholestrol,Seniors,Vegetarian,Garlic Tea,"Fresh garlic, water","Crush garlic, steep in hot water, strain","1/2 cup, once daily","Bad breath, stomach upset","Bleeding disorders, anticoagulants"
cholestrol,Seniors,Vegetarian,Fenugreek Seed Tea,"Fenugreek seeds, water","Boil fenugreek seeds in water, strain","1/2 cup, once daily","Stomach upset, bloating","Low blood pressure, diabetes"
cholestrol,Seniors,Vegetarian,Hibiscus Tea,"Hibiscus flowers, water","Steep hibiscus flowers in hot water, strain","1/2 cup, once daily","Mild dizziness, stomach upset","Low blood pressure, dehydration"
cholestrol,Seniors,Vegetarian,Green Tea,"Green tea leaves, water","Steep green tea leaves in hot water, strain","1/2 cup, once daily","Insomnia, stomach upset","Low blood pressure, caffeine sensitivity"
cholestrol,Seniors,Vegetarian,Artichoke Leaf Tea,"Artichoke leaves, water","Boil artichoke leaves in water, strain","1/2 cup, once daily","Gas, bloating","Gallstones, bile duct issues"
eczema,Children,Vegetarian,Aloe Vera Gel,Aloe vera gel,Apply fresh aloe vera gel directly to the affected area,As needed,"Skin irritation, stinging",Allergies to aloe vera
eczema,Children,Vegetarian,Calendula Cream,"Calendula flowers, oil, beeswax",Blend calendula oil with beeswax to make a soothing cream,Apply to affected area,"Skin irritation, rash",Sensitivity to beeswax
eczema,Children,Vegetarian,Chamomile Tea,"Chamomile flowers, water","Steep chamomile flowers in hot water, strain, and cool before applying",Apply to affected area,"Mild sedation, skin rash",Allergies to chamomile or ragweed
eczema,Children,Vegetarian,Oatmeal Bath,"Oats, water",Add powdered oats to bathwater and soak for 15–20 minutes,Once daily,"Skin irritation, dryness",Oat sensitivity
eczema,Children,Vegetarian,Coconut Oil,Coconut oil,Apply coconut oil directly to the affected area,As needed,"Skin irritation, acne",Allergies to coconut
eczema,Adults,Vegetarian,Aloe Vera Gel,Aloe vera gel,Apply fresh aloe vera gel directly to the affected area,As needed,"Skin irritation, stinging",Allergies to aloe vera
eczema,Adults,Vegetarian,Calendula Cream,"Calendula flowers, oil, beeswax",Blend calendula oil with beeswax to make a soothing cream,Apply to affected area,"Skin irritation, rash",Sensitivity to beeswax
eczema,Adults,Vegetarian,Chamomile Tea,"Chamomile flowers, water","Steep chamomile flowers in hot water, strain, and cool before applying",Apply to affected area,"Mild sedation, skin rash",Allergies to chamomile or ragweed
eczema,Adults,Vegetarian,Oatmeal Bath,"Oats, water",Add powdered oats to bathwater and soak for 15–20 minutes,Once daily,"Skin irritation, dryness",Oat sensitivity
eczema,Adults,Vegetarian,Tea Tree Oil,Tea tree oil,Dilute tea tree oil with a carrier oil and apply to the affected area,As needed,"Skin irritation, dryness",Allergies to tea tree oil
eczema,Seniors,Vegetarian,Aloe Vera Gel,Aloe vera gel,Apply fresh aloe vera gel directly to the affected area,As needed,"Skin irritation, stinging",Allergies to aloe vera
eczema,Seniors,Vegetarian,Calendula Cream,"Calendula flowers, oil, beeswax",Blend calendula oil with beeswax to make a soothing cream,Apply to affected area,"Skin irritation, rash",Sensitivity to beeswax
